;Action;Name;Features;Service;Source;VR Instance;Destination;User;Schedule;QoS;IPS Policy;Usage
11;Dst NAT 172.16.250.2,Client;NAT-DG-ES-to-DMVPN-DORT-2;;UDP  500 , UDP  4500 , Ref: ICMP ECHO , UDP  4500, UDP  500;Ref: net-5.147.244.184-29-DES-Dortmund 5.147.244.184/29;Source: default Destination: default;194.145.239.2 ;Any ;Always ;No-Shaping ;Default ;
12;Pass Explicit IP 194.145.239.1;NAT-DMVPN-to-DG-ES-DORT-1;;UDP  500 , UDP  4500 , Ref: ICMP ECHO , UDP  4500, UDP  500;172.16.250.1 ;Source: default Destination: default;Ref: net-5.147.244.184-29-DES-Dortmund 5.147.244.184/29;Any ;Always ;No-Shaping ;Default ;
13;Pass Explicit IP 194.145.239.2;NAT-DMVPN-to-DG-ES-DORT-2;;UDP  500 , UDP  4500 , Ref: ICMP ECHO , UDP  4500, UDP  500;172.16.250.2 ;Source: default Destination: default;Ref: net-5.147.244.184-29-DES-Dortmund 5.147.244.184/29;Any ;Always ;No-Shaping ;Default ;
14;Dst NAT 172.16.250.1,Client;NAT-DG-ES-to-DMVPN-WUE-1;;UDP  500 , UDP  4500 , Ref: ICMP ECHO , UDP  4500, UDP  500;217.7.103.152/29 ;Source: default Destination: default;194.145.239.1 ;Any ;Always ;No-Shaping ;Default ;
15;Dst NAT 172.16.250.2,Client;NAT-DG-ES-to-DMVPN-WUE-2;;UDP  500 , UDP  4500 , Ref: ICMP ECHO , UDP  4500, UDP  500;217.7.103.152/29 , 85.214.47.155 , 194.145.239.250;Source: default Destination: default;194.145.239.2 ;Any ;Always ;No-Shaping ;Default ;
16;Pass Explicit IP 194.145.239.1;NAT-DMVPN-to-DG-ES-WUE-1;;UDP  500 , UDP  4500 , Ref: ICMP ECHO , UDP  4500, UDP  500;172.16.250.1 ;Source: default Destination: default;217.7.103.152/29 ;Any ;Always ;No-Shaping ;Default ;
17;Pass Explicit IP 194.145.239.2;NAT-DMVPN-to-DG-ES-WUE-2;;UDP  500 , UDP  4500 , Ref: ICMP ECHO , UDP  4500, UDP  500;172.16.250.2 ;Source: default Destination: default;217.7.103.152/29 ;Any ;Always ;No-Shaping ;Default ;
18;Dst NAT 172.16.250.1,Client;NAT-DG-ES-to-DMVPN-FFM-1;;UDP  500 , UDP  4500 , Ref: ICMP ECHO , UDP  4500, UDP  500;193.37.149.7 , 193.37.149.8;Source: default Destination: default;194.145.239.1 ;Any ;Always ;No-Shaping ;Default ;
19;Pass Client;ALLOW-DMVPN-NUE-FRA-neuer-Standort;;Ref: ICMP , Ref: ALL ALLIP, ECHO , TCP  *, TCP  21, TCP  512, TCP  513, TCP  514, UDP  *;193.37.149.7 , 193.37.149.8 , 194.145.239.57;Source: default Destination: default;194.145.239.71 , 194.145.239.70;Any ;Always ;No-Shaping ;Default ;
20;Dst NAT 172.16.250.2,Client;NAT-DG-ES-to-DMVPN-FFM-2;;UDP  500 , UDP  4500 , Ref: ICMP ECHO , UDP  4500, UDP  500;193.37.149.7 , 193.37.149.8;Source: default Destination: default;194.145.239.2 ;Any ;Always ;No-Shaping ;Default ;
21;Pass Explicit IP 194.145.239.1;NAT-DMVPN-to-DG-ES-FFM-1;;UDP  500 , UDP  4500 , Ref: ICMP ECHO , UDP  4500, UDP  500;172.16.250.1 ;Source: default Destination: default;193.37.149.7 , 193.37.149.8;Any ;Always ;No-Shaping ;Default ;
22;Pass Explicit IP 194.145.239.2;NAT-DMVPN-to-DG-ES-FFM-2;;UDP  500 , UDP  4500 , Ref: ICMP ECHO , UDP  4500, UDP  500;172.16.250.2 ;Source: default Destination: default;193.37.149.7 , 193.37.149.8;Any ;Always ;No-Shaping ;Default ;
23;Pass Original Source IP;DG-BS-ES-to-DMVPN-HUB-1;;UDP  500 , UDP  4500 , Ref: ICMP , Ref: ALL , GRE , IPSEC-ESP , IPSEC-AH , TCP  1723 ALLIP, ECHO , GRE, IPSEC-AH, IPSEC-ESP, TCP  *, TCP  1723, TCP  21, TCP  512, TCP  513, TCP  514, UDP  *, UDP  4500, UDP  500;195.244.239.177 , 195.244.239.178 , Ref: h-217.9.115.79-DES-Jena-1 , Ref: h-217.9.115.80-DES-Jena-2 , Ref: net-62.220.30.48-29-DES-Duesseldorf , Ref: net-213.30.232.80-29-DES-Frankfurt , Ref: net-91.103.117.8-29-DES-Boeblingen , Ref: net-82.135.46.120-29-DGES-Wuerzburg , Ref: net-213.61.119.216-29-DMVPN-DGkoeln , Ref: net-80.150.78.144-29-DGFIS-Duesseldorf , Ref: net-193-37-149-0-26_DG-KIT-WEB-Servers , Ref: net-195.63.202.128-27-DGHH , Ref: net-5.147.244.184-29-DES-Dortmund , Ref: net-217.7.103.152--29-DGES-Wuerzburg , 193.37.149.7 , 193.37.149.8 , Ref: net-88.130.189.184-30-DBSROBER02 , Ref: net-94.134.80.176-30-DBSROLPZ02 , Ref: net-94.134.127.96--29-DBSROISM02 , Ref: net-212.7.145.144--29-DBSROROS02 , Ref: net-DGBS-Leipzip-Pub , 178.15.152.130 , 213.182.143.202 , Ref: net-213.146.65.244-30-DGBS-RO , Ref: h-dbsroism01 , Ref: h-dbsroism02 , Ref: net-DGBS-Siegburg-Pub-IPs , 185.62.88.219 , Ref: net-DGES-Ungarn , Ref: net-DG-Wal-185-211-16-176--29 , Ref: DGES-Debrecen , Ref: pub-Portavis-HH-82.140.43.50 , 194.149.42.80/30 , 81.91.17.96/29 , 195.63.202.128/27 , 195.63.202.128/27 , 213.61.249.48/29 , 82.198.211.224/29 , 212.211.212.192/27 , 62.154.225.52 145.253.99.66, 178.15.152.130, 185.211.16.176/29, 185.48.41.8/29, 185.62.88.219, 193.37.149.0/26, 193.37.149.7, 193.37.149.8, 194.149.42.80/30, 195.244.239.177, 195.244.239.178, 195.63.202.128/27, 212.211.212.192/27, 212.7.145.144/29, 212.80.236.104/29, 213.146.65.244/30, 213.182.143.202, 213.23.203.22, 213.30.232.80/29, 213.61.119.216/29, 213.61.249.48/29, 217.7.103.152/29, 217.9.115.79, 217.9.115.80, 5.147.244.184/29, 62.154.225.52, 62.220.30.48/29, 80.150.78.144/29, 80.154.17.152/29, 81.91.17.96/29, 82.119.166.80/29, 82.135.46.120/29, 82.140.43.50, 82.198.211.224/29, 88.130.189.184/30, 88.217.202.75, 91.103.117.8/29, 94.134.127.96/29, 94.134.80.176/30;Source: default Destination: default;194.145.239.1 ;Any ;Always ;No-Shaping ;Default ;
24;Pass Original Source IP;DG-BS-ES-to-DMVPN-HUB-2;;UDP  500 , UDP  4500 , Ref: ICMP , Ref: ALL , IPSEC-ESP , IPSEC-AH , GRE , TCP  1723 ALLIP, ECHO , GRE, IPSEC-AH, IPSEC-ESP, TCP  *, TCP  1723, TCP  21, TCP  512, TCP  513, TCP  514, UDP  *, UDP  4500, UDP  500;195.244.239.177 , 195.244.239.178 , Ref: h-217.9.115.79-DES-Jena-1 , Ref: h-217.9.115.80-DES-Jena-2 , Ref: net-62.220.30.48-29-DES-Duesseldorf , Ref: net-213.30.232.80-29-DES-Frankfurt , Ref: net-91.103.117.8-29-DES-Boeblingen , Ref: net-82.135.46.120-29-DGES-Wuerzburg , Ref: net-213.61.119.216-29-DMVPN-DGkoeln , Ref: net-80.150.78.144-29-DGFIS-Duesseldorf , Ref: net-193-37-149-0-26_DG-KIT-WEB-Servers , Ref: net-195.63.202.128-27-DGHH , Ref: net-5.147.244.184-29-DES-Dortmund , Ref: net-217.7.103.152--29-DGES-Wuerzburg , 193.37.149.7 , 193.37.149.8 , Ref: net-88.130.189.184-30-DBSROBER02 , Ref: net-94.134.127.96--29-DBSROISM02 , Ref: net-94.134.80.176-30-DBSROLPZ02 , Ref: net-212.7.145.144--29-DBSROROS02 , Ref: net-DGBS-Leipzip-Pub , 178.15.152.130 , 213.182.143.202 , Ref: net-213.146.65.244-30-DGBS-RO , Ref: h-dbsroism01 , Ref: h-dbsroism02 , Ref: net-DGBS-Siegburg-Pub-IPs , 185.62.88.219 , Ref: net-DGES-Ungarn , Ref: net-DG-Wal-185-211-16-176--29 , Ref: DGES-Debrecen , Ref: pub-Portavis-HH-82.140.43.50 , 194.149.42.80/30 , 81.91.17.96/29 , 195.63.202.128/27 , 213.61.249.48/29 , 82.198.211.224/29 , 212.211.212.192/27 , 62.154.225.52 145.253.99.66, 178.15.152.130, 185.211.16.176/29, 185.48.41.8/29, 185.62.88.219, 193.37.149.0/26, 193.37.149.7, 193.37.149.8, 194.149.42.80/30, 195.244.239.177, 195.244.239.178, 195.63.202.128/27, 212.211.212.192/27, 212.7.145.144/29, 212.80.236.104/29, 213.146.65.244/30, 213.182.143.202, 213.23.203.22, 213.30.232.80/29, 213.61.119.216/29, 213.61.249.48/29, 217.7.103.152/29, 217.9.115.79, 217.9.115.80, 5.147.244.184/29, 62.154.225.52, 62.220.30.48/29, 80.150.78.144/29, 80.154.17.152/29, 81.91.17.96/29, 82.119.166.80/29, 82.135.46.120/29, 82.140.43.50, 82.198.211.224/29, 88.130.189.184/30, 88.217.202.75, 91.103.117.8/29, 94.134.127.96/29, 94.134.80.176/30;Source: default Destination: default;194.145.239.2 ;Any ;Always ;No-Shaping ;Default ;
25;Pass Original Source IP;DG-BS-DMVPN-VRF-Router;;UDP  500 , UDP  4500 , Ref: ICMP , TCP  1723 , IPSEC-ESP , GRE , IPSEC-AH ECHO , GRE, IPSEC-AH, IPSEC-ESP, TCP  1723, UDP  4500, UDP  500;188.194.193.129 , 80.120.201.128/29 , 62.214.82.149 , 88.217.142.63 , 88.130.205.16/29 , 188.194.192.119 , 213.23.89.110 , 31.27.136.228 , 62.154.225.0/26 , 89.246.179.26 , 89.247.208.186 , 91.211.8.164/30 , 188.194.192.47 , 91.211.9.172 , 89.244.116.226 , 89.246.180.106;Source: default Destination: default;Ref: h-DOP-ROV-DENUE301-pub-IP , Ref: h-DOP-ROV-DENUE201-pub-IP 194.145.239.83, 194.145.239.84;Any ;Always ;No-Shaping ;Default ;
26;Pass No SNAT;Allow-SAP-S1-S2-to-IVG;;Port-8000 TCP  8000;Ref: h-194.145.239.100-as000755 , Ref: h-194.145.239.101-as000756 , Ref: h-194.145.239.102-loadbalancer-cluster 194.145.239.100, 194.145.239.101, 194.145.239.102;Source: default Destination: Same as Source;10.113.18.162 , 10.113.18.168;Any ;Always ;No-Shaping ;Default ;
27;Pass Proxydyn;NewRule;;TCP  3128 , Ref: FTP TCP  21, TCP  3128;Ref: g-Consinto-Loadbalancer 194.145.239.100, 194.145.239.101, 194.145.239.102;Source: default Destination: default;10.1.6.15 ;Any ;Always ;No-Shaping ;Default ;
28;Pass No SNAT;Allow-THAWSNUE01-to-Norris-Mail;;Ref: SMTP , Ref: Port-465-secure-SMTP , Ref: Port-587-secure-SMTP , Ref: IMAP , Ref: Port-993-secure-IMAPS , Ref: Port-995-secure-POP3S TCP  143, TCP  25, TCP  465, TCP  587, TCP  993, TCP  995;Ref: h-194.145.239.68-bpwsnue01 194.145.239.68;Source: default Destination: Same as Source;62.128.1.25 ;Any ;Always ;No-Shaping ;Default ;
29;Pass No SNAT;Allow-DBSLIRNUE01-to-DBSNDNUE01;;TCP  1352 TCP-1352 TCP  1352;Ref: h-172.16.250.213-dbslirnue01 172.16.250.213;Source: default Destination: Same as Source;10.9.0.120 , 10.9.0.121 , 10.9.0.61;Any ;Always ;No-Shaping ;Default ;
30;Pass Client;Allow-LB-to-CitrixFarm;;TCP  1494;Ref: g-Consinto-Loadbalancer 194.145.239.100, 194.145.239.101, 194.145.239.102;Source: default Destination: default;Ref: h-10.9.0.187-DBSVDAaNUE01 , Ref: h-10.9.0.188-dbsvdapnue02 , Ref: h-10.9.0.198-DBSVDAaNUE03 10.9.0.187, 10.9.0.188, 10.9.0.198;Any ;Always ;No-Shaping ;Default ;
31;Pass Client;Allow-Proofpoint-Server-to-EXNUE01;;Ref: SMTP TCP  25;Ref: h-172.16.250.131-DBSPPANUE01 , Ref: h-172.16.250.132-DBSPPANUE02 172.16.250.131, 172.16.250.132;Source: default Destination: default;Ref: h-10.9.0.11-consinto-EXNUE01 , Ref: g-Exchange-Servers-Proofpoint 10.113.22.11, 10.113.22.12, 10.113.38.12, 10.113.39.11, 10.113.39.12, 10.113.4.11, 10.113.40.28, 10.113.6.11, 10.113.7.11, 10.60.68.14, 10.60.68.15, 10.60.70.14, 10.60.70.15, 10.9.0.11, 10.9.255.91, 192.168.19.111;Any ;Always ;No-Shaping ;Default ;
32;Pass Client;Allow-Proofpoint-Server-to-DBSPPMNUE01;;Ref: Port-3306 , TCP  10010 TCP  10010, TCP  3306;Ref: h-172.16.250.131-DBSPPANUE01 , Ref: h-172.16.250.132-DBSPPANUE02 172.16.250.131, 172.16.250.132;Source: default Destination: default;Ref: h-10.9.10.125-DBSPPMNUE01 10.9.10.125;Any ;Always ;No-Shaping ;Default ;
33;Pass Client;Allow-Datagroup-Clients-to-Server-Liferay;;Ref: SSH , Ref: Port-8080 TCP  22, TCP  8080;Ref: net-10-9-15-Consinto-Clients-Nbg , Ref: net-10-9-13-Consinto-VPN-Clients , Ref: net-10-9-12-Consinto-VPN-Client-2 10.9.12.0/24, 10.9.13.0/24, 10.9.15.0/24;Source: default Destination: default;Ref: h-172.16.250.213-dbslirnue01 172.16.250.213;Any ;Always ;No-Shaping ;Default ;
34;Pass Client;Allow-DBSPPMNUE01-to-THAEXNUE01;;Ref: LDAP , Ref: Port-3268 TCP  3268, TCP  389, UDP  389;Ref: h-10.9.10.125-DBSPPMNUE01 10.9.10.125;Source: default Destination: default;Ref: h-172.16.250.70-HAEXNUE01 172.16.250.70;Any ;Always ;No-Shaping ;Default ;
35;Pass Client;Allow-Datagroup-Clients-to-Proofpoint;;Ref: SSH , TCP  10000 TCP  10000, TCP  22;Ref: g-Consinto-Clients-Nets , Ref: h-10.9.10.125-DBSPPMNUE01 10.9.10.125, 10.9.11.0/24, 10.9.12.0/24, 10.9.13.0/24, 10.9.15.0/24, 10.9.16.0/24, 10.9.17.0/24, 10.9.18.0/24, 10.9.19.0/24, 10.9.20.0/24, 10.9.22.0/24, 10.9.23.0/24;Source: default Destination: default;Ref: h-172.16.250.131-DBSPPANUE01 , Ref: h-172.16.250.132-DBSPPANUE02 172.16.250.131, 172.16.250.132;Any ;Always ;No-Shaping ;Default ;
36;Pass Client;Allow-LB-Ports-HTTP-und-HTTPS-Outgoing;;Ref: HTTP+S TCP  443, TCP  80;Ref: g-Consinto-Loadbalancer 194.145.239.100, 194.145.239.101, 194.145.239.102;Source: default Destination: default;Ref: h-10.9.0.184-DBSDDCaNUE01 , Ref: h-172.16.250.184-DBSvDDCaNUE01 10.9.0.184, 172.16.250.184;Any ;Always ;No-Shaping ;Default ;
37;Pass Client;Allow-Datagroup-to-DBSILSNUE02;;Ref: SSH , Ref: ICMP ECHO , TCP  22;Ref: net-10-9-20-Consinto-Siegburg , Ref: h-10.9.0.178-DBSILSSIE03 , Ref: h-10.9.0.192-DBSILSSIE04 10.9.0.178, 10.9.0.192, 10.9.20.0/24;Source: default Destination: default;172.16.250.45 ;Any ;Always ;No-Shaping ;Default ;
38;Pass Client;Allow-LB-to-dataroom-triuva-com;;TCP  444;Ref: g-Consinto-Loadbalancer 194.145.239.100, 194.145.239.101, 194.145.239.102;Source: default Destination: default;10.113.18.27 ;Any ;Always ;No-Shaping ;Default ;
39;Pass Client;Allow-LB-to-dataroom-officefirst-com;;TCP  446;Ref: g-Consinto-Loadbalancer 194.145.239.100, 194.145.239.101, 194.145.239.102;Source: default Destination: default;10.113.18.27 ;Any ;Always ;No-Shaping ;Default ;
40;Pass Client;Allow-LB-to-doksap-Dokumental;;TCP  51000;Ref: g-Consinto-Loadbalancer 194.145.239.100, 194.145.239.101, 194.145.239.102;Source: default Destination: default;Ref: h-10.113.38.166-doksapwon.dokumental.local , Ref: h-10.113.38.167-doksapwom.dokumental.local 10.113.38.166, 10.113.38.167;Any ;Always ;No-Shaping ;Default ;
41;Pass Client;Allow-LB-to-FIDSPNUE02;;Ref: HTTPS TCP  443;Ref: g-Consinto-Loadbalancer 194.145.239.100, 194.145.239.101, 194.145.239.102;Source: default Destination: default;Ref: h-10.113.22.22-FIDSPNUE02 10.113.22.22;Any ;Always ;No-Shaping ;Default ;
42;Pass Client;Allow-Internet-to-FIDWSNUE02;;Ref: HTTPS TCP  443;Ref: Internet 0.0.0.0/0, NOT 10.0.0.0/8, NOT 172.16.0.0/12, NOT 192.168.0.0/16;Source: default Destination: default;194.145.239.77 ;Any ;Always ;No-Shaping ;Default ;
43;Pass Proxydyn;NAT-NetScaler-access-from-intranet;;Ref: HTTP+S TCP  443, TCP  80;Ref: h-10.113.18.150-ivgpvsnur01 , 10.1.13.5 , Ref: h-10.9.0.5-dbsxendsnue01 10.1.13.5, 10.113.18.150, 10.9.0.5;Source: default Destination: default;194.145.239.21 , 194.145.239.5;Any ;Always ;No-Shaping ;Default ;
44;Pass Client;Allow-Internet-HTTP-S-to-f5demo;;Ref: HTTP+S TCP  443, TCP  80;Ref: World 0.0.0.0/0;Source: default Destination: default;Ref: h-194.145.239.65-f5dema.datagroup-bs.de 194.145.239.65;Any ;Always ;No-Shaping ;Default ;
45;Pass Client;Allow-Montratec-Servers-to-monpxnue01-02;;Ref: Port-8080 , Ref: SSH , Ref: HTTP TCP  22, TCP  80, TCP  8080;Ref: net-10.113.41.0-24-Montratec-ServerNetz 10.113.41.0/24;Source: default Destination: default;Ref: h-172.16.250.214-monpxnue01 , Ref: h-172.16.250.215-monpxnue02 172.16.250.214, 172.16.250.215;Any ;Always ;No-Shaping ;Default ;
46;Pass Client;Allow-SSH-to-Montratec-WEB-Server;;Ref: SSH TCP  22;Ref: h-212.55.197.18-PERSPECTIX-AG 212.55.197.18;Source: default Destination: default;Ref: h-194.145.239.108-MONWEBNUE01 194.145.239.108;Any ;Always ;No-Shaping ;Default ;
47;Pass Client;Allow-Montratec-FTP-Access-to-WEBServer;;Ref: FTP TCP  21;Ref: net-10.87.240.0--22-Montratec-Niedererschach , Ref: net-10.87.244.0--22-Montratec-Monger 10.87.240.0/22, 10.87.244.0/22;Source: default Destination: default;Ref: h-194.145.239.108-MONWEBNUE01 194.145.239.108;Any ;Always ;No-Shaping ;Default ;
48;Pass Client;Allow-Montratec-HTTP-S-to-WEB-Server;;Ref: HTTP+S , Ref: Port-8080 TCP  443, TCP  80, TCP  8080;Ref: Internet 0.0.0.0/0, NOT 10.0.0.0/8, NOT 172.16.0.0/12, NOT 192.168.0.0/16;Source: default Destination: default;Ref: h-194.145.239.108-MONWEBNUE01 194.145.239.108;Any ;Always ;No-Shaping ;Default ;
49;Block ;Block-Montratec-WEB-Server-to-DGBS-Server;;ALL ALLIP, ECHO , TCP  *, TCP  21, TCP  512, TCP  513, TCP  514, UDP  *;Ref: h-194.145.239.108-MONWEBNUE01 194.145.239.108;Source: default ;Ref: net-10-9-0-Consinto-Server-Nbg 10.9.0.0/24;Any ;Always ;N.A. ;N.A. ;
50;Pass Client;Allow-Internet-HTTP-S-to-Netscaler;;Ref: HTTP+S TCP  443, TCP  80;Ref: World 0.0.0.0/0;Source: default Destination: default;Ref: h-194.145.239.5-cloud.datagroup-bs.de , Ref: h-194.145.239.21-netscaler-IVG , Ref: h-194.145.239.55-Access.datagroup-bs.de-Netscaler 194.145.239.21, 194.145.239.5, 194.145.239.55;Any ;Always ;No-Shaping ;Default ;
51;Pass Client;Allow-Netscaler-to-Internet-high-ports;;tcp-highports TCP  1024-65535;Ref: h-194.145.239.21-netscaler-IVG , Ref: h-194.145.239.5-cloud.datagroup-bs.de 194.145.239.21, 194.145.239.5;Source: default Destination: default;Internet 0.0.0.0/0, NOT 10.0.0.0/8, NOT 172.16.0.0/12, NOT 192.168.0.0/16;Any ;Always ;No-Shaping ;Default ;
52;Pass Proxysecond;Allow-PROXYs-to-Internet-DNS;;Ref: DNS , Ref: DNS-TCP TCP  53, UDP  53;Ref: h-172.16.250.20-DBSPRONUE01-Proxy1 , Ref: h-172.16.250.21-DBSPRONUE02-Proxy2 , 172.16.250.197 , 172.16.250.198 , Ref: h-172.16.250.191-tripxynur01 , Ref: h-172.16.250.193-mwipxynue01 , Ref: h-172.16.250.194-pumpxynue03 , Ref: h-172.16.250.196-ivgpxynur01 , Ref: h-172.16.250.190-OFFPXYNUR01 172.16.250.190, 172.16.250.191, 172.16.250.193, 172.16.250.194, 172.16.250.196, 172.16.250.197, 172.16.250.198, 172.16.250.20, 172.16.250.21;Source: default Destination: default;Ref: Internet 0.0.0.0/0, NOT 10.0.0.0/8, NOT 172.16.0.0/12, NOT 192.168.0.0/16;Any ;Always ;No-Shaping ;Default ;
